dataset,path,nodes,average_degree,global_E,global_00,global_01,global_11,global_p00,global_p01,global_p11,train_pos_shape,train_neg_shape,train_pos_neg_overlap,train_pos_E,train_pos_00,train_pos_01,train_pos_11,train_pos_p00,train_pos_p01,train_pos_p11,train_neg_E,train_neg_00,train_neg_01,train_neg_11,train_neg_p00,train_neg_p01,train_neg_p11,valid_pos_shape,valid_neg_shape,valid_pos_neg_overlap,valid_pos_E,valid_pos_00,valid_pos_01,valid_pos_11,valid_pos_p00,valid_pos_p01,valid_pos_p11,valid_neg_E,valid_neg_00,valid_neg_01,valid_neg_11,valid_neg_p00,valid_neg_p01,valid_neg_p11,test_pos_shape,test_neg_shape,test_pos_neg_overlap,test_pos_E,test_pos_00,test_pos_01,test_pos_11,test_pos_p00,test_pos_p01,test_pos_p11,test_neg_E,test_neg_00,test_neg_01,test_neg_11,test_neg_p00,test_neg_p01,test_neg_p11
dpah_fm0.40_hMM0.80_hmm0.20_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.20_0.pt,1000,11.876,5938,3412,2426,100,0.5746042438531492,0.4085550690468171,0.016840687100033683,"(4156, 2)","(4156, 2)",0,4156,2388,1698,70,0.5745909528392685,0.40856592877767084,0.016843118383060636,4156,2332,1758,66,0.5611164581328201,0.4230028873917228,0.01588065447545717,"(593, 2)","(593, 2)",0,593,341,242,10,0.5750421585160203,0.40809443507588533,0.016863406408094434,593,332,252,9,0.5598650927487352,0.42495784148397975,0.01517706576728499,"(1189, 2)","(1189, 2)",0,1189,683,486,20,0.5744322960470984,0.4087468460891506,0.01682085786375105,1189,696,471,22,0.5853658536585366,0.3961312026913373,0.018502943650126155
dpah_fm0.40_hMM0.80_hmm0.20_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.20_1.pt,1000,11.876,5938,3412,2426,100,0.5746042438531492,0.4085550690468171,0.016840687100033683,"(4156, 2)","(4156, 2)",0,4156,2388,1698,70,0.5745909528392685,0.40856592877767084,0.016843118383060636,4156,2395,1680,81,0.5762752646775746,0.40423484119345526,0.019489894128970165,"(593, 2)","(593, 2)",0,593,341,242,10,0.5750421585160203,0.40809443507588533,0.016863406408094434,593,332,257,4,0.5598650927487352,0.433389544688027,0.006745362563237774,"(1189, 2)","(1189, 2)",0,1189,683,486,20,0.5744322960470984,0.4087468460891506,0.01682085786375105,1189,688,483,18,0.5786375105130361,0.4062237174095879,0.015138772077375946
dpah_fm0.40_hMM0.80_hmm0.20_2,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.20_2.pt,1000,11.876,5938,3412,2426,100,0.5746042438531492,0.4085550690468171,0.016840687100033683,"(4156, 2)","(4156, 2)",0,4156,2388,1698,70,0.5745909528392685,0.40856592877767084,0.016843118383060636,4156,2347,1751,58,0.564725697786333,0.42131857555341673,0.01395572666025024,"(593, 2)","(593, 2)",0,593,341,242,10,0.5750421585160203,0.40809443507588533,0.016863406408094434,593,346,241,6,0.5834738617200674,0.40640809443507586,0.01011804384485666,"(1189, 2)","(1189, 2)",0,1189,683,486,20,0.5744322960470984,0.4087468460891506,0.01682085786375105,1189,688,481,20,0.5786375105130361,0.40454163162321277,0.01682085786375105
dpah_fm0.40_hMM0.80_hmm0.30_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.30_0.pt,1000,11.908,5954,3413,2358,183,0.5732280819617064,0.396036278132348,0.03073563990594558,"(4167, 2)","(4167, 2)",0,4167,2389,1650,128,0.5733141348692105,0.3959683225341973,0.030717542596592273,4167,2337,1702,128,0.5608351331893449,0.4084473242140629,0.030717542596592273,"(594, 2)","(594, 2)",0,594,341,235,18,0.5740740740740741,0.3956228956228956,0.030303030303030304,594,338,231,25,0.569023569023569,0.3888888888888889,0.04208754208754209,"(1193, 2)","(1193, 2)",0,1193,683,473,37,0.5725062866722548,0.3964794635373009,0.03101424979044426,1193,696,458,39,0.5834031852472757,0.38390611902766136,0.03269069572506287
dpah_fm0.40_hMM0.80_hmm0.30_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.30_1.pt,1000,11.908,5954,3413,2358,183,0.5732280819617064,0.396036278132348,0.03073563990594558,"(4167, 2)","(4167, 2)",0,4167,2389,1650,128,0.5733141348692105,0.3959683225341973,0.030717542596592273,4167,2402,1629,136,0.5764338852891768,0.39092872570194387,0.03263738900887929,"(594, 2)","(594, 2)",0,594,341,235,18,0.5740740740740741,0.3956228956228956,0.030303030303030304,594,327,255,12,0.5505050505050505,0.4292929292929293,0.020202020202020204,"(1193, 2)","(1193, 2)",0,1193,683,473,37,0.5725062866722548,0.3964794635373009,0.03101424979044426,1193,689,460,44,0.5775356244761106,0.38558256496227994,0.036881810561609385
dpah_fm0.40_hMM0.80_hmm0.30_2,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.30_2.pt,1000,11.908,5954,3413,2358,183,0.5732280819617064,0.396036278132348,0.03073563990594558,"(4167, 2)","(4167, 2)",0,4167,2389,1650,128,0.5733141348692105,0.3959683225341973,0.030717542596592273,4167,2347,1699,121,0.5632349412047036,0.4077273818094552,0.029037676985841133,"(594, 2)","(594, 2)",0,594,341,235,18,0.5740740740740741,0.3956228956228956,0.030303030303030304,594,351,227,16,0.5909090909090909,0.38215488215488214,0.026936026936026935,"(1193, 2)","(1193, 2)",0,1193,683,473,37,0.5725062866722548,0.3964794635373009,0.03101424979044426,1193,689,465,39,0.5775356244761106,0.3897736797988265,0.03269069572506287
dpah_fm0.40_hMM0.80_hmm0.40_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.40_0.pt,1000,11.888,5944,3363,2276,305,0.5657806191117093,0.382907133243607,0.051312247644683714,"(4160, 2)","(4160, 2)",0,4160,2354,1593,213,0.5658653846153846,0.38293269230769234,0.051201923076923075,4160,2310,1643,207,0.5552884615384616,0.39495192307692306,0.04975961538461538,"(593, 2)","(593, 2)",0,593,336,227,30,0.5666104553119731,0.3827993254637437,0.050590219224283306,593,325,229,39,0.5480607082630692,0.38617200674536256,0.0657672849915683,"(1191, 2)","(1191, 2)",0,1191,673,456,62,0.5650713685978169,0.38287153652392947,0.052057094878253565,1191,686,441,64,0.5759865659109992,0.3702770780856423,0.05373635600335852
dpah_fm0.40_hMM0.80_hmm0.40_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.40_1.pt,1000,11.888,5944,3363,2276,305,0.5657806191117093,0.382907133243607,0.051312247644683714,"(4160, 2)","(4160, 2)",0,4160,2354,1593,213,0.5658653846153846,0.38293269230769234,0.051201923076923075,4160,2364,1577,219,0.5682692307692307,0.37908653846153845,0.05264423076923077,"(593, 2)","(593, 2)",0,593,336,227,30,0.5666104553119731,0.3827993254637437,0.050590219224283306,593,325,247,21,0.5480607082630692,0.41652613827993257,0.03541315345699832,"(1191, 2)","(1191, 2)",0,1191,673,456,62,0.5650713685978169,0.38287153652392947,0.052057094878253565,1191,679,438,74,0.5701091519731318,0.3677581863979849,0.06213266162888329
dpah_fm0.40_hMM0.80_hmm0.40_2,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.40_2.pt,1000,11.888,5944,3363,2276,305,0.5657806191117093,0.382907133243607,0.051312247644683714,"(4160, 2)","(4160, 2)",0,4160,2354,1593,213,0.5658653846153846,0.38293269230769234,0.051201923076923075,4160,2315,1649,196,0.5564903846153846,0.39639423076923075,0.047115384615384615,"(593, 2)","(593, 2)",0,593,336,227,30,0.5666104553119731,0.3827993254637437,0.050590219224283306,593,342,224,27,0.5767284991568297,0.3777403035413153,0.045531197301854974,"(1191, 2)","(1191, 2)",0,1191,673,456,62,0.5650713685978169,0.38287153652392947,0.052057094878253565,1191,681,446,64,0.5717884130982368,0.3744752308984047,0.05373635600335852
dpah_fm0.40_hMM0.80_hmm0.50_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.50_0.pt,1000,11.888,5944,3306,2142,496,0.5561911170928667,0.3603633916554509,0.08344549125168237,"(4160, 2)","(4160, 2)",0,4160,2314,1499,347,0.55625,0.36033653846153846,0.08341346153846153,4160,2262,1550,348,0.54375,0.37259615384615385,0.08365384615384615,"(593, 2)","(593, 2)",0,593,330,214,49,0.5564924114671164,0.3608768971332209,0.08263069139966273,593,326,211,56,0.5497470489038786,0.35581787521079256,0.09443507588532883,"(1191, 2)","(1191, 2)",0,1191,662,429,100,0.5558354324097398,0.3602015113350126,0.08396305625524769,1191,673,407,111,0.5650713685978169,0.3417296389588581,0.09319899244332494
